Posisi,Mitra,Bidang,Lokasi,Deskripsi,Provinsi,Kabupaten_Kota,Kecamatan,Skor_Kecocokan,Probabilitas_Diterima,Sentimen,Kategori_Sentimen,Skor_Deskripsi
Graphic Designer,Pt Widya Inovasi Indonesia (Widya Robotics),Marketing,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab untuk
menciptakan konsep visual dan
mengkomunikasikannya melalui berbagai media grafis.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,5,20.83,0.0,Netral,1
Dokumentasi & Arsip,Kementerian Pekerjaan Umum,Administrasi Pemerintahan,"Provinsi : Kalimantan Selatan
Kabupaten/Kota : Kota Banjarmasin
Kecamatan : Banjarmasin Selatan","Manajemen Arsip, dan Dokumen",Kalimantan Selatan,Kota Banjarmasin,Banjarmasin Selatan,0,0.0,0.0,Netral,0
Warehouse Staff,Pt Dsv Solutions Indonesia,Operasional Warehouse,"Provinsi: Jakarta, Jawa Barat, Sumatera, Kalimantan, Jawa Timur.
Kota/Kabupaten: Bekasi, Bogor, Jakarta, Medan, Surabaya, Semarang, Sidoarjo, Pekanbaru, Medan.
Kecamatan: Medan Satria, Gunung Puteri, Candi.","Sebagai Warehouse Staff magang di PT. DSV
Solutions Indonesia, peserta akan terlibat dalam proses
penerimaan barang (inbound), pengelolaan stok,
pendataan barang menggunakan sistem, serta
pelaksanaan stocktake. Selain itu, peserta juga akan
mendukung pelaksanaan project manajemen dan
mengikuti kelas mingguan untuk pengembangan
keterampilan. Semua tugas ini bertujuan memberikan
pengalaman praktis di bidang pergudangan dengan
dukungan pembelajaran yang menyenangkan.",,,,6,25.0,0.0,Netral,3
Project Manajemen,Pt Dsv Solutions Indonesia,Office Support,"Provinsi : Jakarta, Jawa Tengah
Kabupaten/Kota : Jakarta, Semarang
Kecamatan : Makasar, Candi","Peserta magang akan terlibat dalam proses
improvement dan pembuatan sistem pendukung
operasional, termasuk memahami desain proses dan
melakukan analisis data untuk mendukung efisiensi
bisnis perusahaan.","Jakarta, Jawa Tengah","Jakarta, Semarang","Makasar, Candi",9,37.5,0.0,Netral,2
Office Staff Logistik,Pt Dsv Solutions Indonesia,Office Support,"Provinsi : Jakarta, Jawa Barat
Kabupaten/Kota : Jakarta, Bekasi
Kecamatan : Makasar, Medan Satria","Peserta magang akan terlibat dalam pekerjaan office
staaf support diberbagai deparment sebagai
Administrasi Perkantoran. Penempatan ini bisa
terdapat dibagian Personalia, Finanace, Excellent
Team, HSE dan Event Organizer","Jakarta, Jawa Barat","Jakarta, Bekasi","Makasar, Medan Satria",9,37.5,1.0,Positif,1
Fullstack Developer,Pt Indi Teknokreasi Internasional,Teknologi Informasi,"Provinsi : Daerah Khusus Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Duren Sawit","Posisi Full stack Web Developer bertanggung jawab untuk merancang, membangun, dan memelihara aplikasi web secara menyeluruh, mencakup sisi frontend dan backend. Peran ini juga meliputi memastikan integrasi sistem berjalan lancar, performa aplikasi optimal, serta keamanan dan skalabilitas platform tetap terjaga.",Daerah Khusus Jakarta,Jakarta Timur,Duren Sawit,11,45.83,0.35,Positif,2
Mobile App Developer,Pt Indi Teknokreasi Internasional,Teknologi Informasi,"Provinsi : Daerah Khusus Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Duren Sawit","Posisi Mobile App Developer (Hybrid) bertugas
merancang, mengembangkan, dan menguji aplikasi
mobile menggunakan Flutter agar dapat berjalan
optimal di Android dan iOS. Peran ini menuntut
kemampuan menerjemahkan kebutuhan pengguna ke
dalam fitur yang intuitif, serta kolaborasi dengan tim
untuk menghasilkan aplikasi yang responsif, aman,
dan berkualitas.",Daerah Khusus Jakarta,Jakarta Timur,Duren Sawit,7,29.17,0.0,Netral,0
Product Developer,Pt Indi Teknokreasi Internasional,Teknologi Informasi,"Provinsi : Daerah Khusus Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Duren Sawit","Posisi Product Developer bertanggung jawab untuk
merancang, mengembangkan, dan mengelola produk
dari tahap ide hingga peluncuran, dengan
memperhatikan kebutuhan pengguna dan tujuan
bisnis. Peran ini memerlukan pemahaman dalam
UI/UX design, serta keterampilan manajemen proyek
untuk mengoordinasikan tim lintas fungsi dan
memastikan setiap tahap pengembangan berjalan
efektif dan tepat waktu.",Daerah Khusus Jakarta,Jakarta Timur,Duren Sawit,13,54.17,0.0,Netral,3
Creative Designer,Pt Indi Teknokreasi Internasional,Komunikasi & Media,"Provinsi : Daerah Khusus Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Duren Sawit","Posisi Creative Designer bertanggung jawab untuk
menciptakan elemen visual dan multimedia yang
menarik dan komunikatif guna mendukung berbagai
kebutuhan promosi, branding, dan komunikasi
perusahaan. Selain mendesain materi grafis, peran ini
juga mencakup produksi konten multimedia seperti
video, animasi, dan editing visual, serta berkolaborasi
dengan tim pemasaran, konten, dan produk untuk
memastikan hasil desain selaras dengan identitas
merek dan tujuan bisnis.",Daerah Khusus Jakarta,Jakarta Timur,Duren Sawit,12,50.0,0.16666666666666666,Netral,2
Digital Marketing,Pt Indi Teknokreasi Internasional,Komunikasi & Media,"Provinsi : Daerah Khusus Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Duren Sawit","Posisi Digital Marketing berfokus pada perencanaan
dan pelaksanaan strategi pemasaran melalui kanal
digital seperti media sosial, email, mesin pencari, dan
website. Peran ini juga menuntut keterampilan dalam
membuat konten yang menarik, merancang kampanye
periklanan digital yang efektif, serta menganalisis data
untuk meningkatkan jangkauan, interaksi, dan konversi
secara berkelanjutan.",Daerah Khusus Jakarta,Jakarta Timur,Duren Sawit,14,58.33,0.0,Netral,3
Business Development Officer,Pt Indi Teknokreasi Internasional,Strategi & Bisnis,"Provinsi : Daerah Khusus Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Duren Sawit","Posisi Business Development Officer bertugas
mengidentifikasi peluang kerja sama,
mengembangkan jaringan relasi, dan mendukung
pertumbuhan bisnis melalui pendekatan strategis.
Peran ini juga mencakup kemampuan dalam mencari
dan mendapatkan leads potensial, membangun
hubungan yang berkelanjutan, serta mengubah
prospek menjadi mitra atau klien yang nyata.",Daerah Khusus Jakarta,Jakarta Timur,Duren Sawit,5,20.83,0.0,Netral,0
Accounting & Administration Officer,Pt Indi Teknokreasi Internasional,Keuangan & Hukum,"Provinsi : Daerah Khusus Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Duren Sawit","Posisi Accounting & Administration bertanggung jawab
dalam pencatatan transaksi keuangan, penyusunan
laporan sederhana, serta pengelolaan dokumen dan
administrasi kantor. Peran ini mendukung kelancaran
operasional harian melalui pengaturan data, arsip, dan
proses administrasi yang tertib dan efisien.",Daerah Khusus Jakarta,Jakarta Timur,Duren Sawit,7,29.17,0.0,Netral,1
